,Genre,Year,Movies Released,Gross,Tickets Sold
148,Romantic Comedy,1999,23,722597811.0,142243650
149,Romantic Comedy,2000,23,374478694.0,69476556
150,Romantic Comedy,2001,23,529130923.0,93486019
151,Romantic Comedy,2002,24,574879303.0,98946512
152,Romantic Comedy,2003,25,495065519.0,82100406
153,Romantic Comedy,2004,33,651589511.0,104925831
154,Romantic Comedy,2005,15,440435727.0,68710713
155,Romantic Comedy,2006,19,342785466.0,52333650
156,Romantic Comedy,2007,35,733929251.0,105730830
157,Romantic Comedy,2008,25,330849160.0,38856854
158,Romantic Comedy,2009,26,642370662.0,75508553
159,Romantic Comedy,2010,30,517406269.0,59285340
160,Romantic Comedy,2011,33,577791604.0,69473969
161,Romantic Comedy,2012,31,340203356.0,42739101
162,Romantic Comedy,2013,25,197247886.0,24261722
163,Romantic Comedy,2014,30,264693693.0,32398230
164,Romantic Comedy,2015,23,74106836.0,8790834
165,Romantic Comedy,2016,30,137209258.0,15669133
166,Romantic Comedy,2017,15,85994969.0,9586948
167,Romantic Comedy,2018,15,241016524.0,26869172
168,Musical,1996,2,2562599.0,579772
169,Musical,1997,5,114425007.0,24929194
170,Musical,1998,8,67210342.0,14330561
171,Musical,1999,8,23577029.0,4641144
172,Musical,2000,9,93372793.0,17323334
173,Musical,2001,7,69839373.0,12339107
174,Musical,2002,8,57571456.0,9909026
175,Musical,2003,6,169169167.0,28054586
176,Musical,2004,5,22364844.0,3601422
177,Musical,2005,7,81788548.0,12759520
178,Musical,2006,7,68195041.0,10411454
179,Musical,2007,11,255937558.0,36163584
180,Musical,2008,11,260176422.0,29103388
181,Musical,2009,10,39330920.0,4692206
182,Musical,2010,9,174481691.0,22108696
183,Musical,2011,4,84688775.0,9924084
184,Musical,2012,6,391900843.0,49233771
185,Musical,2013,6,357193074.0,43935184
186,Musical,2014,7,252182790.0,30866923
187,Musical,2015,8,68944880.0,7956106
188,Musical,2016,8,248894081.0,28773877
190,Musical,2018,9,417625409.0,46558012
191,Documentary,1995,9,81994311.0,18849263
192,Documentary,1996,7,6791655.0,1536569
193,Documentary,1997,9,10372500.0,2259800
194,Documentary,1998,12,85954501.0,18327179
195,Documentary,1999,25,88124882.0,17347407
196,Documentary,2000,42,127001363.0,23562383
197,Documentary,2001,25,21807044.0,3852823
198,Documentary,2002,31,71658170.0,12333577
199,Documentary,2003,53,91130211.0,15112777
200,Documentary,2004,89,235480966.0,37919594
201,Documentary,2005,99,165886230.0,25878321
202,Documentary,2006,111,102355386.0,15626720
203,Documentary,2007,109,70753270.0,10283847
204,Documentary,2008,126,87432868.0,11212195
205,Documentary,2009,93,187444087.0,23688746
206,Documentary,2010,116,93857579.0,11330455
207,Documentary,2011,135,82415597.0,9786934
208,Documentary,2012,149,132328422.0,16624104
209,Documentary,2013,160,49307450.0,6064807
210,Documentary,2014,152,88025980.0,10774221
211,Documentary,2015,143,65083771.0,7648965
212,Documentary,2016,158,50780120.0,5860728
213,Documentary,2017,148,44877018.0,5002945
214,Documentary,2018,142,107099307.0,11939660
215,Dark Comedy,1995,3,24185598.0,5559905
216,Dark Comedy,1996,3,2567371.0,580852
217,Dark Comedy,1997,5,37327594.0,8132372
218,Dark Comedy,1998,6,46315475.0,9875365
219,Dark Comedy,1999,9,101746444.0,20028824
220,Dark Comedy,2000,7,51210561.0,9501029
221,Dark Comedy,2001,3,57007068.0,10071918
222,Dark Comedy,2002,4,47766617.0,8221446
223,Dark Comedy,2003,2,56947540.0,9444035
224,Dark Comedy,2004,3,5277208.0,849791
225,Dark Comedy,2005,6,9517330.0,1484760
226,Dark Comedy,2006,5,32291174.0,4929948
227,Dark Comedy,2007,3,2456085.0,356987
228,Dark Comedy,2008,6,61625210.0,6905436
229,Dark Comedy,2009,9,54671157.0,7289484
230,Dark Comedy,2010,11,53218987.0,6745113
231,Dark Comedy,2011,11,35839668.0,4514637
232,Dark Comedy,2012,14,92522208.0,11623385
233,Dark Comedy,2013,12,188672454.0,23206939
234,Dark Comedy,2014,13,181517016.0,22217499
235,Dark Comedy,2015,13,74779827.0,8445027
236,Dark Comedy,2016,6,49182952.0,5536337
237,Dark Comedy,2017,10,61215946.0,6824518
238,Dark Comedy,2018,10,141282717.0,15750577
239,Western,1995,6,36538078.0,8399556
240,Western,1996,2,1118960.0,253157
241,Western,1999,1,491069.0,96667
242,Western,2000,4,64719710.0,12007366
243,Western,2001,4,22389813.0,3955796
244,Western,2003,2,84453058.0,14005482
245,Western,2004,4,90475689.0,14569352
246,Western,2005,1,14873.0,2320
247,Western,2006,2,584825.0,89285
248,Western,2007,4,57964064.0,8293652
249,Western,2008,4,20317697.0,2270814
250,Western,2009,2,169906.0,19795
251,Western,2010,3,92697737.0,10426173
252,Western,2011,2,84669662.0,9440622
253,Western,2012,2,106297399.0,13353944
254,Western,2013,4,145859175.0,17940856
255,Western,2014,2,2323054.0,284339
256,Western,2015,6,29521197.0,3501919
257,Western,2016,7,147170965.0,16628696
258,Western,2017,8,61575125.0,6864560
259,Western,2018,7,33408750.0,3724495
260,Concert or Performance,1999,1,148443.0,29221
261,Concert or Performance,2000,2,38847717.0,7207367
262,Concert or Performance,2001,3,3215111.0,568039
263,Concert or Performance,2002,3,20338177.0,3500545
264,Concert or Performance,2003,1,70000.0,11608
265,Concert or Performance,2004,1,1174079.0,189062
266,Concert or Performance,2005,3,1154117.0,180048
267,Concert or Performance,2006,4,2484609.0,379327
268,Concert or Performance,2007,3,192068.0,27915
269,Concert or Performance,2008,11,75628951.0,8718895
270,Concert or Performance,2009,3,19953639.0,2241766
271,Concert or Performance,2010,3,3128252.0,387512
272,Concert or Performance,2011,6,95445317.0,10795027
273,Concert or Performance,2012,4,28347099.0,3561192
274,Concert or Performance,2013,4,64881892.0,7980550
275,Concert or Performance,2014,3,3148116.0,385326
276,Concert or Performance,2015,1,1150000.0,136417
277,Concert or Performance,2016,4,27211033.0,3145782
278,Concert or Performance,2017,3,2984320.0,332699
279,Multiple Genres,2000,1,332235.0,61639
280,Multiple Genres,2001,1,2010.0,355
281,Multiple Genres,2002,1,391835.0,67441
282,Multiple Genres,2003,2,498239.0,82626
283,Multiple Genres,2004,2,55134.0,8877
284,Multiple Genres,2006,3,748135.0,114218
285,Multiple Genres,2007,2,335887.0,48819
286,Multiple Genres,2008,1,508695.0,70848
287,Multiple Genres,2009,1,644635.0,85951
288,Multiple Genres,2010,3,1173911.0,148783
289,Multiple Genres,2011,4,1510823.0,190518
290,Multiple Genres,2012,2,1900200.0,238718
291,Multiple Genres,2013,1,2142342.0,263510
292,Multiple Genres,2014,2,5136187.0,628663
293,Multiple Genres,2015,1,2412493.0,286179
294,Multiple Genres,2016,4,2862219.0,330890
295,Multiple Genres,2017,5,4614134.0,514394
296,Multiple Genres,2018,3,4787450.0,533717
297,Reality,2014,1,16826.0,2059
298,Reality,2015,3,604870.0,71751
299,Reality,2018,1,2027.0,225
