,Genre,Year,Movies Released,Gross,Tickets Sold,Inflation-Adjusted Gross,Tickets Sold Category
128,5,2003,16,450032336.0,74632219,669451004,1
129,5,2004,20,464969445.0,74874297,671622444,1
130,5,2005,30,587908674.0,91717406,822705132,1
131,5,2006,31,553283464.0,84470742,757702556,1
132,5,2007,31,693525961.0,93822372,841586677,1
133,5,2008,25,293647307.0,33899031,304074308,1
134,5,2009,26,584680109.0,70287470,630478606,1
135,5,2010,26,531211616.0,62321234,559021469,1
136,5,2011,28,404326975.0,47796580,428735323,1
137,5,2012,33,308863451.0,38801926,348053276,1
138,5,2013,30,448523012.0,55168866,494864728,1
139,5,2014,30,254888301.0,31198061,279846607,1
140,5,2015,24,374324652.0,43043467,386099899,1
141,5,2016,28,479942549.0,54784636,491418185,1
142,5,2017,34,1039425572.0,115877974,1039425427,1
143,5,2018,34,901529308.0,100504925,901529177,1
144,6,1995,16,297177737.0,68316713,612800916,1
145,6,1996,19,427301022.0,96674429,867169628,1
146,6,1997,22,297133612.0,64734983,580672798,1
147,6,1998,14,500783066.0,106776765,957787582,1
148,6,1999,23,722597811.0,142243650,1275925541,1
149,6,2000,23,374478694.0,69476556,623204707,1
150,6,2001,23,529130923.0,93486019,838569590,1
151,6,2002,24,574879303.0,98946512,887550213,1
152,6,2003,25,495065519.0,82100406,736440642,1
153,6,2004,33,651589511.0,104925831,941184704,1
154,6,2005,15,440435727.0,68710713,616335096,1
155,6,2006,19,342785466.0,52333650,469432841,1
156,6,2007,35,733929251.0,105730830,948405545,1
157,6,2008,25,330849160.0,38856854,348545980,1
158,6,2009,26,642370662.0,75508553,677311720,1
159,6,2010,30,517406269.0,59285340,531789500,1
160,6,2011,33,577791604.0,69473969,623181502,1
161,6,2012,31,340203356.0,42739101,383369736,1
162,6,2013,25,197247886.0,24261722,217627646,1
163,6,2014,30,264693693.0,32398230,290612123,1
164,6,2015,23,74106836.0,8790834,78853781,1
165,6,2016,30,137209258.0,15669133,140552123,1
166,6,2017,15,85994969.0,9586948,85994924,1
167,6,2018,15,241016524.0,26869172,241016473,1
168,9,1996,2,2562599.0,579772,5200555,2
169,9,1997,5,114425007.0,24929194,223614870,1
170,9,1998,8,67210342.0,14330561,128545132,1
171,9,1999,8,23577029.0,4641144,41631062,1
172,9,2000,9,93372793.0,17323334,155390306,1
173,9,2001,7,69839373.0,12339107,110681790,1
174,9,2002,8,57571456.0,9909026,88883963,1
175,9,2003,6,169169167.0,28054586,251649636,1
176,9,2004,5,22364844.0,3601422,32304755,1
177,9,2005,7,81788548.0,12759520,114452894,1
178,9,2006,7,68195041.0,10411454,93390742,1
179,9,2007,11,255937558.0,36163584,324387348,1
180,9,2008,11,260176422.0,29103388,261057390,1
181,9,2009,10,39330920.0,4692206,42089088,1
182,9,2010,9,174481691.0,22108696,198315003,1
183,9,2011,4,84688775.0,9924084,89019033,1
184,9,2012,6,391900843.0,49233771,441626926,1
185,9,2013,6,357193074.0,43935184,394098600,1
186,9,2014,7,252182790.0,30866923,276876299,1
187,9,2015,8,68944880.0,7956106,71366271,1
188,9,2016,8,248894081.0,28773877,258101677,1
190,9,2018,9,417625409.0,46558012,417625368,1
191,7,1995,9,81994311.0,18849263,169077889,1
192,7,1996,7,6791655.0,1536569,13783024,1
193,7,1997,9,10372500.0,2259800,20270406,1
194,7,1998,12,85954501.0,18327179,164394796,1
195,7,1999,25,88124882.0,17347407,155606241,1
196,7,2000,42,127001363.0,23562383,211354576,1
197,7,2001,25,21807044.0,3852823,34559822,1
198,7,2002,31,71658170.0,12333577,110632186,1
199,7,2003,53,91130211.0,15112777,135561610,1
200,7,2004,89,235480966.0,37919594,340138758,1
201,7,2005,99,165886230.0,25878321,232128539,1
202,7,2006,111,102355386.0,15626720,140171678,1
203,7,2007,109,70753270.0,10283847,92246108,1
204,7,2008,126,87432868.0,11212195,100573389,1
205,7,2009,93,187444087.0,23688746,212488052,1
206,7,2010,116,93857579.0,11330455,101634181,1
207,7,2011,135,82415597.0,9786934,87788798,1
208,7,2012,149,132328422.0,16624104,149118213,1
209,7,2013,160,49307450.0,6064807,54401319,1
210,7,2014,152,88025980.0,10774221,96644762,1
211,7,2015,143,65083771.0,7648965,68611216,1
212,7,2016,158,50780120.0,5860728,52570730,1
213,7,2017,148,44877018.0,5002945,44876417,1
214,7,2018,142,107099307.0,11939660,107098750,1
215,8,1995,3,24185598.0,5559905,49872348,1
216,8,1996,3,2567371.0,580852,5210242,2
217,8,1997,5,37327594.0,8132372,72947377,1
218,8,1998,6,46315475.0,9875365,88582024,1
219,8,1999,9,101746444.0,20028824,179658551,1
220,8,2000,7,51210561.0,9501029,85224230,1
221,8,2001,3,57007068.0,10071918,90345104,1
222,8,2002,4,47766617.0,8221446,73746371,1
223,8,2003,2,56947540.0,9444035,84712994,1
224,8,2004,3,5277208.0,849791,7622625,2
225,8,2005,6,9517330.0,1484760,13318297,1
226,8,2006,5,32291174.0,4929948,44221634,1
227,8,2007,3,2456085.0,356987,3202173,2
228,8,2008,6,61625210.0,6905436,61941761,1
229,8,2009,9,54671157.0,7289484,65386671,1
230,8,2010,11,53218987.0,6745113,60503664,1
231,8,2011,11,35839668.0,4514637,40496294,1
232,8,2012,14,92522208.0,11623385,104261763,1
233,8,2013,12,188672454.0,23206939,208166243,1
234,8,2014,13,181517016.0,22217499,199290966,1
235,8,2015,13,74779827.0,8445027,75751892,1
236,8,2016,6,49182952.0,5536337,49660943,1
237,8,2017,10,61215946.0,6824518,61215926,1
238,8,2018,10,141282717.0,15750577,141282676,1
239,10,1995,6,36538078.0,8399556,75344017,1
240,10,1996,2,1118960.0,253157,2270818,2
241,10,1999,1,491069.0,96667,867103,3
242,10,2000,4,64719710.0,12007366,107706073,1
243,10,2001,4,22389813.0,3955796,35483490,1
244,10,2003,2,84453058.0,14005482,125629174,1
245,10,2004,4,90475689.0,14569352,130687087,1
246,10,2005,1,14873.0,2320,20810,3
247,10,2006,2,584825.0,89285,800886,3
248,10,2007,4,57964064.0,8293652,74394058,1
249,10,2008,4,20317697.0,2270814,20369202,1
250,10,2009,2,169906.0,19795,177561,3
251,10,2010,3,92697737.0,10426173,93522772,1
252,10,2011,2,84669662.0,9440622,84682379,1
253,10,2012,2,106297399.0,13353944,119784878,1
254,10,2013,4,145859175.0,17940856,160929478,1
255,10,2014,2,2323054.0,284339,2550521,2
256,10,2015,6,29521197.0,3501919,31412213,1
257,10,2016,7,147170965.0,16628696,149159403,1
258,10,2017,8,61575125.0,6864560,61575103,1
259,10,2018,7,33408750.0,3724495,33408720,1
260,11,1999,1,148443.0,29221,262112,3
261,11,2000,2,38847717.0,7207367,64650082,1
262,11,2001,3,3215111.0,568039,5095310,2
263,11,2002,3,20338177.0,3500545,31399889,1
264,11,2003,1,70000.0,11608,104124,3
265,11,2004,1,1174079.0,189062,1695886,2
266,11,2005,3,1154117.0,180048,1615031,2
267,11,2006,4,2484609.0,379327,3402563,2
268,11,2007,3,192068.0,27915,250398,3
269,11,2008,11,75628951.0,8718895,78208488,1
270,11,2009,3,19953639.0,2241766,20108641,1
271,11,2010,3,3128252.0,387512,3475983,2
272,11,2011,6,95445317.0,10795027,96831392,1
273,11,2012,4,28347099.0,3561192,31943892,1
274,11,2013,4,64881892.0,7980550,71585534,1
275,11,2014,3,3148116.0,385326,3456374,2
276,11,2015,1,1150000.0,136417,1223660,2
277,11,2016,4,27211033.0,3145782,28217665,1
278,11,2017,3,2984320.0,332699,2984310,2
279,12,2000,1,332235.0,61639,552902,3
280,12,2001,1,2010.0,355,3184,3
281,12,2002,1,391835.0,67441,604946,3
282,12,2003,2,498239.0,82626,741155,3
283,12,2004,2,55134.0,8877,79627,3
284,12,2006,3,748135.0,114218,1024535,2
285,12,2007,2,335887.0,48819,437906,3
286,12,2008,1,508695.0,70848,635507,3
287,12,2009,1,644635.0,85951,770980,3
288,12,2010,3,1173911.0,148783,1334584,2
289,12,2011,4,1510823.0,190518,1708946,2
290,12,2012,2,1900200.0,238718,2141300,2
291,12,2013,1,2142342.0,263510,2363685,2
292,12,2014,2,5136187.0,628663,5639107,2
293,12,2015,1,2412493.0,286179,2567026,2
294,12,2016,4,2862219.0,330890,2968083,2
295,12,2017,5,4614134.0,514394,4614114,2
296,12,2018,3,4787450.0,533717,4787441,2
297,13,2014,1,16826.0,2059,18469,3
298,13,2015,3,604870.0,71751,643606,3
299,13,2018,1,2027.0,225,2018,3
