,Genre,Year,Movies Released,Gross,Tickets Sold,Inflation-Adjusted Gross,Tickets Sold Category
104,Thriller or Suspense,2003,20,382640658.0,63456152,569201683,Very Popular
105,Thriller or Suspense,2004,30,801681437.0,129095226,1157984177,Very Popular
106,Thriller or Suspense,2005,25,368731981.0,57524478,515994568,Very Popular
107,Thriller or Suspense,2006,35,739589574.0,112914419,1012842338,Very Popular
108,Thriller or Suspense,2007,57,826453022.0,120084032,1077153767,Very Popular
109,Thriller or Suspense,2008,51,780239375.0,97076819,870779066,Very Popular
110,Thriller or Suspense,2009,55,965638077.0,122809305,1101599466,Very Popular
111,Thriller or Suspense,2010,51,919200109.0,104436566,936795997,Very Popular
112,Thriller or Suspense,2011,60,928786329.0,110302117,989409989,Very Popular
113,Thriller or Suspense,2012,64,1534307056.0,192752112,1728986445,Very Popular
114,Thriller or Suspense,2013,70,1143419822.0,140642010,1261558830,Very Popular
115,Thriller or Suspense,2014,62,969244659.0,118634566,1064152057,Very Popular
116,Thriller or Suspense,2015,72,1089501477.0,125482735,1125580133,Very Popular
117,Thriller or Suspense,2016,64,652302676.0,74687059,669942919,Very Popular
118,Thriller or Suspense,2017,63,697561514.0,77766030,697561289,Very Popular
119,Thriller or Suspense,2018,56,613231037.0,68364643,613230848,Very Popular
120,Horror,1995,15,148103633.0,34046807,305399859,Very Popular
121,Horror,1996,9,112915551.0,25546499,229152096,Very Popular
122,Horror,1997,11,407801247.0,88845581,796944862,Very Popular
123,Horror,1998,16,318584830.0,67928527,609318887,Very Popular
124,Horror,1999,15,477204556.0,93937896,842622927,Very Popular
125,Horror,2000,14,370091662.0,68662640,615903881,Very Popular
126,Horror,2001,16,391330452.0,69139648,620182643,Very Popular
127,Horror,2002,11,297788051.0,51254391,459751887,Very Popular
128,Horror,2003,16,450032336.0,74632219,669451004,Very Popular
129,Horror,2004,20,464969445.0,74874297,671622444,Very Popular
130,Horror,2005,30,587908674.0,91717406,822705132,Very Popular
131,Horror,2006,31,553283464.0,84470742,757702556,Very Popular
132,Horror,2007,31,693525961.0,93822372,841586677,Very Popular
133,Horror,2008,25,293647307.0,33899031,304074308,Very Popular
134,Horror,2009,26,584680109.0,70287470,630478606,Very Popular
135,Horror,2010,26,531211616.0,62321234,559021469,Very Popular
136,Horror,2011,28,404326975.0,47796580,428735323,Very Popular
137,Horror,2012,33,308863451.0,38801926,348053276,Very Popular
138,Horror,2013,30,448523012.0,55168866,494864728,Very Popular
139,Horror,2014,30,254888301.0,31198061,279846607,Very Popular
140,Horror,2015,24,374324652.0,43043467,386099899,Very Popular
